h,T,T0,heff,Hfield,m_mean,m_err,meas_bins
1.5,2.07688,1.45108,0.197969,0.197969,0.873764,3.87889e-05,2000
1.5,2.1,1.45108,0.204792,0.204792,0.86828,4.40405e-05,2000
1.5,2.2,1.45108,0.233854,0.233854,0.843435,5.38123e-05,2000
1.5,2.3,1.45108,0.262166,0.262166,0.817065,6.05905e-05,2000
1.5,2.4,1.45108,0.289714,0.289714,0.789892,6.46482e-05,2000
1.5,2.5,1.45108,0.316492,0.316492,0.762357,6.95488e-05,2000
1.5,2.6,1.45108,0.342501,0.342501,0.734897,7.12131e-05,2000
1.5,2.7,1.45108,0.367742,0.367742,0.707755,7.35073e-05,2000
1.5,2.8,1.45108,0.392225,0.392225,0.68143,7.71354e-05,2000
1.5,2.9,1.45108,0.415958,0.415958,0.656104,7.47447e-05,2000
1.5,3,1.45108,0.438957,0.438957,0.631879,7.61948e-05,2000
