h,T,T0,heff,Hfield,m_mean,m_err,meas_bins
1.5,1,1.45108,-0.153594,-0.153594,-0.999478,1.27466e-06,1000
1.5,1.1,1.45108,-0.119151,-0.119151,-0.998776,2.0692e-06,1000
1.5,1.2,1.45108,-0.0848748,-0.0848748,-0.997478,3.08529e-06,1000
1.5,1.3,1.45108,-0.0508343,-0.0508343,-0.995258,4.58402e-06,1000
1.5,1.37108,1.45108,-0.0268228,-0.0268228,-0.992878,5.84178e-06,1000
1.5,1.38108,1.45108,-0.0234585,-0.0234585,-0.992478,6.22929e-06,1000
1.5,1.39108,1.45108,-0.0200979,-0.0200979,-0.99207,6.31329e-06,1000
1.5,1.4,1.45108,-0.0171021,-0.0171021,-0.991673,6.34646e-06,1000
1.5,1.40108,1.45108,-0.0167411,-0.0167411,-0.991611,6.48127e-06,1000
1.5,1.41108,1.45108,-0.0133881,-0.0133881,-0.99116,6.46852e-06,1000
1.5,1.42108,1.45108,-0.010039,-0.010039,-0.990681,7.07271e-06,1000
1.5,1.43108,1.45108,-0.00669387,-0.00669387,-0.990164,7.35602e-06,1000
1.5,1.43308,1.45108,-0.00602533,-0.00602533,-0.990083,7.41506e-06,1000
1.5,1.43508,1.45108,-0.00535695,-0.00535695,-0.98997,7.49985e-06,1000
1.5,1.43708,1.45108,-0.00468874,-0.00468874,-0.989868,9.67893e-06,1000
1.5,1.43908,1.45108,-0.00402069,-0.00402069,-0.989728,1.86935e-05,1000
1.5,1.44108,1.45108,-0.0033528,-0.0033528,-0.989535,3.75614e-05,1000
1.5,1.44308,1.45108,-0.00268507,-0.00268507,-0.988885,0.000143153,1000
1.5,1.44508,1.45108,-0.00201752,-0.00201752,-0.984817,0.000820086,1000
1.5,1.44708,1.45108,-0.00135012,-0.00135012,-0.92992,0.00528024,1000
1.5,1.44908,1.45108,-0.0006829,-0.0006829,-0.676869,0.00968526,1000
1.5,1.45108,1.45108,-1.58413e-05,-1.58413e-05,0.000246158,0.00806907,1000
1.5,1.45308,1.45108,0.000651049,0.000651049,0.942424,0.00422856,1000
1.5,1.45508,1.45108,0.00131777,0.00131777,0.979796,0.0011924,1000
1.5,1.45708,1.45108,0.00198433,0.00198433,0.985735,0.000468105,1000
1.5,1.45908,1.45108,0.00265071,0.00265071,0.987755,0.000182251,1000
1.5,1.46108,1.45108,0.00331692,0.00331692,0.988274,9.3419e-05,1000
1.5,1.46308,1.45108,0.00398297,0.00398297,0.988412,6.2868e-05,1000
1.5,1.46508,1.45108,0.00464884,0.00464884,0.988439,4.77832e-05,1000
1.5,1.46708,1.45108,0.00531454,0.00531454,0.988392,2.043e-05,1000
1.5,1.46908,1.45108,0.00598007,0.00598007,0.988312,1.33505e-05,1000
1.5,1.47108,1.45108,0.00664543,0.00664543,0.988247,1.40659e-05,1000
1.5,1.48108,1.45108,0.0099696,0.0099696,0.987795,1.44738e-05,1000
1.5,1.49108,1.45108,0.0132894,0.0132894,0.987336,1.00572e-05,1000
1.5,1.5,1.45108,0.0162481,0.0162481,0.98692,9.21276e-06,1000
1.5,1.50108,1.45108,0.0166047,0.0166047,0.98687,9.39243e-06,1000
1.5,1.51108,1.45108,0.0199154,0.0199154,0.986402,9.95529e-06,1000
1.5,1.52108,1.45108,0.0232216,0.0232216,0.985888,9.8273e-06,1000
1.5,1.53108,1.45108,0.026523,0.026523,0.985378,9.94524e-06,1000
1.5,1.6,1.45108,0.0491455,0.0491455,0.981568,1.25497e-05,1000
1.5,1.7,1.45108,0.081524,0.081524,0.974884,1.59083e-05,1000
1.5,1.8,1.45108,0.113325,0.113325,0.966594,1.96255e-05,1000
1.5,1.9,1.45108,0.144497,0.144497,0.956764,2.49349e-05,1000
1.5,2,1.45108,0.174997,0.174997,0.9452,2.94405e-05,1000
1.5,2.1,1.45108,0.204792,0.204792,0.931784,3.60975e-05,1000
1.5,2.18919,1.45108,0.230747,0.230747,0.918287,3.64012e-05,1000
1.5,2.19919,1.45108,0.233621,0.233621,0.916717,3.47349e-05,1000
1.5,2.2,1.45108,0.233854,0.233854,0.91656,3.65288e-05,1000
1.5,2.20919,1.45108,0.236486,0.236486,0.915085,3.54949e-05,1000
1.5,2.21919,1.45108,0.239345,0.239345,0.913458,3.48768e-05,1000
1.5,2.22919,1.45108,0.242195,0.242195,0.911819,3.8676e-05,1000
1.5,2.23919,1.45108,0.245039,0.245039,0.91011,3.88521e-05,1000
1.5,2.24919,1.45108,0.247874,0.247874,0.908419,3.76563e-05,1000
1.5,2.25119,1.45108,0.24844,0.24844,0.908067,3.76854e-05,1000
1.5,2.25319,1.45108,0.249006,0.249006,0.907694,3.77822e-05,1000
1.5,2.25519,1.45108,0.249572,0.249572,0.907375,3.93588e-05,1000
1.5,2.25719,1.45108,0.250137,0.250137,0.906994,3.83977e-05,1000
1.5,2.25919,1.45108,0.250702,0.250702,0.906716,3.6902e-05,1000
1.5,2.26119,1.45108,0.251267,0.251267,0.906369,3.778e-05,1000
1.5,2.26319,1.45108,0.251831,0.251831,0.906003,3.88265e-05,1000
1.5,2.26519,1.45108,0.252395,0.252395,0.905655,3.77128e-05,1000
1.5,2.26719,1.45108,0.252959,0.252959,0.905327,3.90022e-05,1000
1.5,2.26919,1.45108,0.253523,0.253523,0.905028,3.95714e-05,1000
1.5,2.27119,1.45108,0.254086,0.254086,0.904628,4.00278e-05,1000
1.5,2.27319,1.45108,0.254649,0.254649,0.904293,3.87689e-05,1000
1.5,2.27519,1.45108,0.255211,0.255211,0.903922,3.98298e-05,1000
1.5,2.27719,1.45108,0.255773,0.255773,0.903603,3.9872e-05,1000
1.5,2.27919,1.45108,0.256335,0.256335,0.903222,3.99767e-05,1000
1.5,2.28119,1.45108,0.256897,0.256897,0.902974,3.87677e-05,1000
1.5,2.28319,1.45108,0.257458,0.257458,0.902587,3.94687e-05,1000
1.5,2.28519,1.45108,0.258019,0.258019,0.902161,3.91763e-05,1000
1.5,2.28719,1.45108,0.25858,0.25858,0.901892,4.17869e-05,1000
1.5,2.28919,1.45108,0.259141,0.259141,0.90151,4.07631e-05,1000
1.5,2.29919,1.45108,0.261938,0.261938,0.899636,4.03465e-05,1000
1.5,2.3,1.45108,0.262166,0.262166,0.899466,4.07866e-05,1000
1.5,2.30919,1.45108,0.264728,0.264728,0.89785,4.30871e-05,1000
1.5,2.31919,1.45108,0.26751,0.26751,0.896091,4.18329e-05,1000
1.5,2.32919,1.45108,0.270285,0.270285,0.894239,4.36705e-05,1000
1.5,2.33919,1.45108,0.273052,0.273052,0.892374,4.3745e-05,1000
1.5,2.34919,1.45108,0.275811,0.275811,0.890481,4.6368e-05,1000
1.5,2.4,1.45108,0.289714,0.289714,0.880862,5.45174e-05,1000
1.5,2.5,1.45108,0.316492,0.316492,0.86046,6.42201e-05,1000
