h,T,T0,heff,Hfield,m_mean,m_err,meas_bins
0.1,1,2.05332,-0.028483,-0.028483,-0.998137,1.82406e-06,2000
0.1,1.1,2.05332,-0.0264255,-0.0264255,-0.996247,2.83252e-06,2000
0.1,1.2,2.05332,-0.0240799,-0.0240799,-0.993138,4.14957e-06,2000
0.1,1.3,2.05332,-0.0215096,-0.0215096,-0.988336,6.25871e-06,2000
0.1,1.4,2.05332,-0.0187759,-0.0187759,-0.98119,9.36113e-06,2000
0.1,1.5,2.05332,-0.0159339,-0.0159339,-0.970796,1.43902e-05,2000
0.1,1.6,2.05332,-0.0130311,-0.0130311,-0.955737,2.34225e-05,2000
0.1,1.7,2.05332,-0.0101064,-0.0101064,-0.933478,4.18055e-05,2000
0.1,1.8,2.05332,-0.00719142,-0.00719142,-0.898915,8.74004e-05,2000
0.1,1.9,2.05332,-0.00431065,-0.00431065,-0.837241,0.000186098,2000
0.1,1.91688,2.05332,-0.00382907,-0.00382907,-0.821009,0.000176239,2000
0.1,1.92688,2.05332,-0.00354457,-0.00354457,-0.80993,0.000191949,2000
0.1,1.93688,2.05332,-0.00326065,-0.00326065,-0.797829,0.000211701,2000
0.1,1.94688,2.05332,-0.00297731,-0.00297731,-0.783654,0.000241798,2000
0.1,1.95688,2.05332,-0.00269458,-0.00269458,-0.767618,0.000273846,2000
0.1,1.96688,2.05332,-0.00241246,-0.00241246,-0.748763,0.000291239,2000
0.1,1.97332,2.05332,-0.00223115,-0.00223115,-0.734166,0.00030212,2000
0.1,1.97688,2.05332,-0.00213097,-0.00213097,-0.725687,0.000306288,2000
0.1,1.97888,2.05332,-0.00207475,-0.00207475,-0.720675,0.000306391,2000
0.1,1.98088,2.05332,-0.00201855,-0.00201855,-0.714692,0.000312124,2000
0.1,1.98288,2.05332,-0.00196238,-0.00196238,-0.709037,0.000317187,2000
0.1,1.98332,2.05332,-0.00195007,-0.00195007,-0.707611,0.000321666,2000
0.1,1.98488,2.05332,-0.00190624,-0.00190624,-0.702753,0.000328523,2000
0.1,1.98688,2.05332,-0.00185012,-0.00185012,-0.696549,0.000343976,2000
0.1,1.98888,2.05332,-0.00179403,-0.00179403,-0.689469,0.000367929,2000
0.1,1.99088,2.05332,-0.00173796,-0.00173796,-0.682287,0.00039518,2000
0.1,1.99288,2.05332,-0.00168192,-0.00168192,-0.674692,0.000401829,2000
0.1,1.99332,2.05332,-0.00166964,-0.00166964,-0.672795,0.000407964,2000
0.1,1.99488,2.05332,-0.00162591,-0.00162591,-0.666216,0.0004352,2000
0.1,1.99688,2.05332,-0.00156992,-0.00156992,-0.657484,0.000470441,2000
0.1,1.99888,2.05332,-0.00151396,-0.00151396,-0.648008,0.000501478,2000
0.1,2,2.05332,-0.00148272,-0.00148272,-0.641871,0.000525764,2000
0.1,2.00088,2.05332,-0.00145803,-0.00145803,-0.637173,0.000546824,2000
0.1,2.00288,2.05332,-0.00140212,-0.00140212,-0.625873,0.000587663,2000
0.1,2.00332,2.05332,-0.00138987,-0.00138987,-0.623609,0.000601169,2000
0.1,2.00488,2.05332,-0.00134624,-0.00134624,-0.613513,0.000650267,2000
0.1,2.00688,2.05332,-0.00129039,-0.00129039,-0.600408,0.000705568,2000
0.1,2.00888,2.05332,-0.00123456,-0.00123456,-0.584975,0.000785378,2000
0.1,2.01088,2.05332,-0.00117877,-0.00117877,-0.568857,0.000839293,2000
0.1,2.01288,2.05332,-0.001123,-0.001123,-0.550494,0.00093628,2000
0.1,2.01332,2.05332,-0.00111078,-0.00111078,-0.546186,0.000964292,2000
0.1,2.01488,2.05332,-0.00106725,-0.00106725,-0.529367,0.00106771,2000
0.1,2.01688,2.05332,-0.00101154,-0.00101154,-0.506248,0.00127405,2000
0.1,2.02332,2.05332,-0.000832363,-0.000832363,-0.418768,0.00177063,2000
0.1,2.02688,2.05332,-0.000733369,-0.000733369,-0.362894,0.0019885,2000
0.1,2.03332,2.05332,-0.000554645,-0.000554645,-0.249762,0.0020036,2000
0.1,2.03532,2.05332,-0.000499186,-0.000499186,-0.216276,0.00191488,2000
0.1,2.03688,2.05332,-0.000455901,-0.000455901,-0.190478,0.00183683,2000
0.1,2.03732,2.05332,-0.000443754,-0.000443754,-0.18314,0.00182376,2000
0.1,2.03932,2.05332,-0.000388352,-0.000388352,-0.151849,0.00177353,2000
0.1,2.04132,2.05332,-0.000332977,-0.000332977,-0.122636,0.00175558,2000
0.1,2.04332,2.05332,-0.000277632,-0.000277632,-0.0964711,0.0016915,2000
0.1,2.04532,2.05332,-0.000222314,-0.000222314,-0.073903,0.00162187,2000
0.1,2.04688,2.05332,-0.000179141,-0.000179141,-0.058087,0.00155209,2000
0.1,2.04732,2.05332,-0.000167026,-0.000167026,-0.0537365,0.00154472,2000
0.1,2.04932,2.05332,-0.000111766,-0.000111766,-0.0349711,0.00150961,2000
0.1,2.05132,2.05332,-5.65351e-05,-5.65351e-05,-0.0181675,0.00146984,2000
0.1,2.05332,2.05332,-1.33308e-06,-1.33308e-06,-0.00347853,0.0013908,2000
0.1,2.05532,2.05332,5.384e-05,5.384e-05,0.00994102,0.00134259,2000
0.1,2.05688,2.05332,9.69008e-05,9.69008e-05,0.0189656,0.00129678,2000
0.1,2.05732,2.05332,0.000108984,0.000108984,0.0219229,0.0012973,2000
0.1,2.05932,2.05332,0.000164099,0.000164099,0.0331493,0.0012673,2000
0.1,2.06132,2.05332,0.000219184,0.000219184,0.0427148,0.00123762,2000
0.1,2.06332,2.05332,0.000274241,0.000274241,0.0501547,0.00120089,2000
0.1,2.06532,2.05332,0.000329268,0.000329268,0.0578964,0.00114419,2000
0.1,2.06688,2.05332,0.000372214,0.000372214,0.0629361,0.00113228,2000
0.1,2.06732,2.05332,0.000384265,0.000384265,0.0643813,0.001123,2000
0.1,2.06932,2.05332,0.000439233,0.000439233,0.0698477,0.00109526,2000
0.1,2.07132,2.05332,0.000494172,0.000494172,0.0748644,0.00108507,2000
0.1,2.07332,2.05332,0.00054908,0.00054908,0.0788696,0.00107924,2000
0.1,2.07688,2.05332,0.00064679,0.00064679,0.0856934,0.00109936,2000
0.1,2.08332,2.05332,0.000823177,0.000823177,0.0958663,0.00110983,2000
0.1,2.09332,2.05332,0.00109652,0.00109652,0.105791,0.00102259,2000
0.1,2.1,2.05332,0.00127866,0.00127866,0.109739,0.000975621,2000
0.1,2.10332,2.05332,0.00136911,0.00136911,0.111456,0.000976968,2000
0.1,2.11332,2.05332,0.00164093,0.00164093,0.115137,0.00095173,2000
0.1,2.12332,2.05332,0.00191197,0.00191197,0.118312,0.000951035,2000
0.1,2.13332,2.05332,0.00218223,0.00218223,0.118788,0.00104753,2000
0.1,2.2,2.05332,0.00396377,0.00396377,0.11428,0.00127184,2000
0.1,2.3,2.05332,0.00656613,0.00656613,0.0970907,0.000854328,2000
0.1,2.4,2.05332,0.00908177,0.00908177,0.0830511,0.000615385,2000
0.1,2.5,2.05332,0.0115087,0.0115087,0.0739262,0.000472521,2000
0.1,2.6,2.05332,0.0138464,0.0138464,0.0667792,0.000355613,2000
0.1,2.7,2.05332,0.0160955,0.0160955,0.060802,0.000294428,2000
0.1,2.8,2.05332,0.0182576,0.0182576,0.0565296,0.000243508,2000
0.1,2.9,2.05332,0.0203347,0.0203347,0.0529286,0.000205499,2000
0.1,3,2.05332,0.0223294,0.0223294,0.0497309,0.00019403,2000
