h,T,T0,heff,Hfield,m_mean,m_err,meas_bins
1.5,2.07688,1.45108,0.197969,0.197969,0.873846,5.32097e-05,1000
1.5,2.1,1.45108,0.204792,0.204792,0.868342,6.25869e-05,1000
1.5,2.2,1.45108,0.233854,0.233854,0.843328,7.8073e-05,1000
1.5,2.3,1.45108,0.262166,0.262166,0.817101,8.78106e-05,1000
1.5,2.4,1.45108,0.289714,0.289714,0.789928,9.08687e-05,1000
1.5,2.5,1.45108,0.316492,0.316492,0.762419,9.85015e-05,1000
1.5,2.6,1.45108,0.342501,0.342501,0.734779,0.000101518,1000
1.5,2.7,1.45108,0.367742,0.367742,0.70776,0.000102919,1000
1.5,2.8,1.45108,0.392225,0.392225,0.681386,0.000107415,1000
1.5,2.9,1.45108,0.415958,0.415958,0.656018,0.000107942,1000
1.5,3,1.45108,0.438957,0.438957,0.631845,0.000106412,1000
