h,T,T0,heff,Hfield,m_mean,m_err,mabs_mean,mabs_err,meas_bins
0.001,2.2,2.05559,3.90725e-05,3.90725e-05,0.183815,0.00955517,0.784435,0.000301605,1000
0.001,2.20919,2.05559,4.15012e-05,4.15012e-05,0.195505,0.00888926,0.771783,0.000339346,1000
0.001,2.21919,2.05559,4.41373e-05,4.41373e-05,0.202131,0.00836928,0.755105,0.000420387,1000
0.001,2.22919,2.05559,4.6765e-05,4.6765e-05,0.207625,0.00745592,0.735443,0.000500599,1000
0.001,2.23919,2.05559,4.93843e-05,4.93843e-05,0.208678,0.0065681,0.711115,0.000607962,1000
0.001,2.24919,2.05559,5.19951e-05,5.19951e-05,0.209577,0.00549712,0.67887,0.000729956,1000
0.001,2.25119,2.05559,5.25162e-05,5.25162e-05,0.206877,0.0052428,0.670501,0.000778109,1000
0.001,2.25319,2.05559,5.3037e-05,5.3037e-05,0.205075,0.00511485,0.661637,0.000793547,1000
0.001,2.25519,2.05559,5.35574e-05,5.35574e-05,0.204125,0.00494258,0.652897,0.000837827,1000
0.001,2.25719,2.05559,5.40776e-05,5.40776e-05,0.203325,0.00477696,0.643037,0.000909575,1000
0.001,2.25919,2.05559,5.45973e-05,5.45973e-05,0.198246,0.00458072,0.631525,0.000982567,1000
0.001,2.26119,2.05559,5.51167e-05,5.51167e-05,0.19347,0.00448014,0.619247,0.00103596,1000
0.001,2.26319,2.05559,5.56358e-05,5.56358e-05,0.186953,0.00434612,0.605654,0.00110832,1000
0.001,2.26519,2.05559,5.61546e-05,5.61546e-05,0.184278,0.00420564,0.591698,0.0011503,1000
0.001,2.26719,2.05559,5.6673e-05,5.6673e-05,0.178095,0.00406117,0.577279,0.00124053,1000
0.001,2.26919,2.05559,5.7191e-05,5.7191e-05,0.168548,0.00405494,0.560113,0.00132069,1000
0.001,2.27119,2.05559,5.77087e-05,5.77087e-05,0.161369,0.00398137,0.542877,0.00136436,1000
0.001,2.27319,2.05559,5.82261e-05,5.82261e-05,0.154627,0.00387531,0.523951,0.00145461,1000
0.001,2.27519,2.05559,5.87431e-05,5.87431e-05,0.14773,0.00382587,0.504925,0.00151305,1000
0.001,2.27719,2.05559,5.92598e-05,5.92598e-05,0.140443,0.00376796,0.485044,0.00155739,1000
0.001,2.27919,2.05559,5.97761e-05,5.97761e-05,0.130602,0.003611,0.464966,0.00160428,1000
0.001,2.28119,2.05559,6.02921e-05,6.02921e-05,0.123354,0.00349692,0.445512,0.0016489,1000
0.001,2.28319,2.05559,6.08077e-05,6.08077e-05,0.116717,0.0034875,0.425252,0.0016895,1000
0.001,2.28519,2.05559,6.1323e-05,6.1323e-05,0.108787,0.0034507,0.405295,0.00177976,1000
0.001,2.28719,2.05559,6.1838e-05,6.1838e-05,0.0996331,0.0034209,0.385351,0.00184902,1000
0.001,2.28919,2.05559,6.23526e-05,6.23526e-05,0.0911937,0.00343812,0.366531,0.00188808,1000
0.001,2.29919,2.05559,6.49204e-05,6.49204e-05,0.0587409,0.00328861,0.283642,0.00194173,1000
0.001,2.3,2.05559,6.51292e-05,6.51292e-05,0.0577791,0.00325598,0.278814,0.00190611,1000
0.001,2.30919,2.05559,6.74795e-05,6.74795e-05,0.0374608,0.0030544,0.227687,0.00180513,1000
0.001,2.31919,2.05559,7.00298e-05,7.00298e-05,0.0264486,0.00286721,0.190999,0.00161136,1000
0.001,2.32919,2.05559,7.25715e-05,7.25715e-05,0.0186688,0.00261304,0.163643,0.00148932,1000
0.001,2.33919,2.05559,7.51043e-05,7.51043e-05,0.015087,0.00239395,0.142299,0.00141502,1000
0.001,2.34919,2.05559,7.76284e-05,7.76284e-05,0.0122518,0.00230697,0.124463,0.00136904,1000
0.001,2.4,2.05559,9.03177e-05,9.03177e-05,0.00563684,0.00262211,0.0805363,0.00146733,1000
0.001,2.5,2.05559,0.000114618,0.000114618,0.00375631,0.00180136,0.0541708,0.000938427,1000
0.001,2.6,2.05559,0.000138024,0.000138024,0.000893207,0.00104577,0.0386109,0.000475975,1000
0.001,2.7,2.05559,0.000160543,0.000160543,-0.000783774,0.000757048,0.0326925,0.000340461,1000
0.001,2.8,2.05559,0.00018219,0.00018219,0.000409911,0.00054361,0.0278519,0.000248583,1000
0.001,2.9,2.05559,0.000202986,0.000202986,0.000619608,0.000437803,0.0251275,0.000190732,1000
0.001,3,2.05559,0.000222956,0.000222956,0.00090345,0.000358474,0.0222611,0.000151128,1000
