h,T,T0,heff,Hfield,m_mean,m_err,meas_bins
0.1,1,2.05332,-0.028483,-0.028483,-0.998134,2.60767e-06,1000
0.1,1.1,2.05332,-0.0264255,-0.0264255,-0.996242,3.95336e-06,1000
0.1,1.2,2.05332,-0.0240799,-0.0240799,-0.993134,5.89772e-06,1000
0.1,1.3,2.05332,-0.0215096,-0.0215096,-0.988334,8.99215e-06,1000
0.1,1.4,2.05332,-0.0187759,-0.0187759,-0.981178,1.34801e-05,1000
0.1,1.5,2.05332,-0.0159339,-0.0159339,-0.970781,2.06573e-05,1000
0.1,1.6,2.05332,-0.0130311,-0.0130311,-0.955708,3.24095e-05,1000
0.1,1.7,2.05332,-0.0101064,-0.0101064,-0.933467,6.13455e-05,1000
0.1,1.8,2.05332,-0.00719142,-0.00719142,-0.898928,0.000124041,1000
0.1,1.9,2.05332,-0.00431065,-0.00431065,-0.836982,0.000255822,1000
0.1,1.91688,2.05332,-0.00382907,-0.00382907,-0.821044,0.000237675,1000
0.1,1.92688,2.05332,-0.00354457,-0.00354457,-0.809813,0.000269714,1000
0.1,1.93688,2.05332,-0.00326065,-0.00326065,-0.797731,0.000293408,1000
0.1,1.94688,2.05332,-0.00297731,-0.00297731,-0.783609,0.000344049,1000
0.1,1.95688,2.05332,-0.00269458,-0.00269458,-0.767251,0.000384839,1000
0.1,1.96688,2.05332,-0.00241246,-0.00241246,-0.748649,0.000417077,1000
0.1,1.97332,2.05332,-0.00223115,-0.00223115,-0.733753,0.00043778,1000
0.1,1.97688,2.05332,-0.00213097,-0.00213097,-0.72533,0.000434952,1000
0.1,1.97888,2.05332,-0.00207475,-0.00207475,-0.719946,0.000430248,1000
0.1,1.98088,2.05332,-0.00201855,-0.00201855,-0.713843,0.000447327,1000
0.1,1.98288,2.05332,-0.00196238,-0.00196238,-0.708292,0.000448368,1000
0.1,1.98332,2.05332,-0.00195007,-0.00195007,-0.707077,0.000457841,1000
0.1,1.98488,2.05332,-0.00190624,-0.00190624,-0.702023,0.000486386,1000
0.1,1.98688,2.05332,-0.00185012,-0.00185012,-0.696083,0.000517158,1000
0.1,1.98888,2.05332,-0.00179403,-0.00179403,-0.688937,0.00054736,1000
