h,T,T0,heff,Hfield,m_mean,m_err,meas_bins
0.1,1,2.05332,-0.028483,-0.028483,-0.999321,1.03637e-06,2000
0.1,1.1,2.05332,-0.0264255,-0.0264255,-0.998527,1.5879e-06,2000
0.1,1.2,2.05332,-0.0240799,-0.0240799,-0.997163,2.37833e-06,2000
0.1,1.3,2.05332,-0.0215096,-0.0215096,-0.994985,3.4395e-06,2000
0.1,1.4,2.05332,-0.0187759,-0.0187759,-0.991694,4.79389e-06,2000
0.1,1.5,2.05332,-0.0159339,-0.0159339,-0.98692,6.84244e-06,2000
0.1,1.6,2.05332,-0.0130311,-0.0130311,-0.980178,9.72811e-06,2000
0.1,1.7,2.05332,-0.0101064,-0.0101064,-0.970757,1.44321e-05,2000
0.1,1.8,2.05332,-0.00719142,-0.00719142,-0.957693,2.26736e-05,2000
0.1,1.9,2.05332,-0.00431065,-0.00431065,-0.939156,3.81186e-05,2000
0.1,1.97332,2.05332,-0.00223115,-0.00223115,-0.920318,4.5642e-05,2000
0.1,1.98332,2.05332,-0.00195007,-0.00195007,-0.917178,4.34425e-05,2000
0.1,1.99332,2.05332,-0.00166964,-0.00166964,-0.914059,4.42496e-05,2000
0.1,2,2.05332,-0.00148272,-0.00148272,-0.911822,4.43852e-05,2000
0.1,2.00332,2.05332,-0.00138987,-0.00138987,-0.910711,4.5255e-05,2000
0.1,2.01332,2.05332,-0.00111078,-0.00111078,-0.906571,0.000246998,2000
0.1,2.02332,2.05332,-0.000832363,-0.000832363,-0.888977,0.00123875,2000
0.1,2.03332,2.05332,-0.000554645,-0.000554645,-0.466344,0.00545698,2000
0.1,2.03532,2.05332,-0.000499186,-0.000499186,-0.127368,0.00529532,2000
0.1,2.03732,2.05332,-0.000443754,-0.000443754,0.314594,0.00416145,2000
0.1,2.03932,2.05332,-0.000388352,-0.000388352,0.585897,0.0037045,2000
0.1,2.04132,2.05332,-0.000332977,-0.000332977,0.733873,0.00306686,2000
0.1,2.04332,2.05332,-0.000277632,-0.000277632,0.812377,0.00240501,2000
0.1,2.04532,2.05332,-0.000222314,-0.000222314,0.856254,0.00175112,2000
0.1,2.04732,2.05332,-0.000167026,-0.000167026,0.873998,0.00125852,2000
0.1,2.04932,2.05332,-0.000111766,-0.000111766,0.882435,0.00095723,2000
0.1,2.05132,2.05332,-5.65351e-05,-5.65351e-05,0.887259,0.00064598,2000
0.1,2.05332,2.05332,-1.33308e-06,-1.33308e-06,0.888744,0.000469362,2000
0.1,2.05532,2.05332,5.384e-05,5.384e-05,0.889691,0.000279793,2000
0.1,2.05732,2.05332,0.000108984,0.000108984,0.889024,0.000255718,2000
0.1,2.05932,2.05332,0.000164099,0.000164099,0.888465,0.000200364,2000
0.1,2.06132,2.05332,0.000219184,0.000219184,0.887768,0.000166396,2000
0.1,2.06332,2.05332,0.000274241,0.000274241,0.887086,0.000107802,2000
0.1,2.06532,2.05332,0.000329268,0.000329268,0.886295,6.03838e-05,2000
0.1,2.06732,2.05332,0.000384265,0.000384265,0.885445,6.13138e-05,2000
